Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000084,2015-07-26 21:16:00,"CAIRO, OPSCENTER",Report Sent to Review,SHEIKH ZUWAYYED,EGYPT,,2015-07-25 00:00:00,2015-07-25 00:00:00,OPEN SOURCE (ONLINE),,"An Armed attack on El Sheikh Zuweid Police Station, North Sinai Governorate.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,TERRORISM,ARMED ATTACK
2015-000016,2015-05-17 22:35:00,REPORT EXEC,Report Sent to Review,,EGYPT,,2015-05-08 00:00:00,2015-05-08 00:00:00,,Ansar Bayt al-Maqdis,Ansar Bayt al-Maqdis video: Egypt wages ‘war on God’,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,NA
2015-000057,2015-07-20 11:12:00,"ROUFFAUD, LUC",Report Sent to Review,ITALIAN CONSULATE,EGYPT,,2015-07-11 00:00:00,2015-07-11 00:00:00,OPEN SOURCE (ONLINE),,"A car bombing outside the Italian consulate in Cairo killed one person, wounded nine others and resulted in widespread damage and flooding. Islamic State claimed responsibility for the attack.",EGYPT,CAIRO,DOWNTOWN,TERRORISM,BOMBING (OTHER THAN IED)
2015-000038,2015-07-17 22:32:00,"GAMAL, ESLAM",Report Sent to Review,COFFEE SHOP AT LUTFALLAH AREA,EGYPT,,2015-07-14 00:00:00,2015-07-14 00:00:00,OPEN SOURCE (ONLINE),,"A homemade bomb exploded close to Coffee Shop at Lutfallah Area, Faiyum Governorate",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000061,2015-07-21 06:36:00,"CAIRO, OPSCENTER",Report Sent to Review,MONTAZA,EGYPT,,2015-07-21 00:00:00,2015-07-21 00:00:00,OPEN SOURCE (ONLINE),,"Unknown people throw Molotov towards a police checkpoint in front of Al - Abaa Church, Al-Montazah, Alex Governorate.",EGYPT,ALEXANDRIA,MONTAZA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000089,2015-07-28 08:56:00,"CAIRO, OPSCENTER",Report Sent to Review,AL- OBOUR CITY,EGYPT,,2015-07-28 00:00:00,2015-07-28 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire at Furniture Factory at Al- Obour City, Cairo. Firemen are trying to control it. 10 Killed and 25 injured. Unknown Reasons.",EGYPT,CAIRO,NA,HAZARD,NA
2015-000049,2015-07-17 22:56:00,"GAMAL, ESLAM",Report Sent to Review,CINEMA RADOBIS,EGYPT,,2015-07-17 00:00:00,2015-07-17 00:00:00,OPEN SOURCE (ONLINE),,"A bomb exploded front of cinema Radobis at El Haram area, Giza Governorate.",EGYPT,GIZA,GIZA,TERRORISM,IED
2015-000047,2015-07-17 22:49:00,"GAMAL, ESLAM",Report Sent to Review,ABDEL MONEIM RIAD SQUARE FAIYUM,EGYPT,,2015-07-16 00:00:00,2015-07-16 00:00:00,OPEN SOURCE (ONLINE),,"A bomb exploded near to Abdel Moneim Riad Square Faiyum, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000087,2015-07-27 10:17:00,"CAIRO, OPSCENTER",Report Sent to Review,NEIGHBORHOOD NO 6,EGYPT,,2015-07-27 00:00:00,2015-07-27 00:00:00,OPEN SOURCE (ONLINE),,"Armed Clashes between Police Forces and Morsi Supporters in Neighborhood No 6 , 6th of October City, Giza.",EGYPT,GIZA,6TH OCTOBER CITY,CIVIL UNREST,SECURITY CLASHES
2015-000022,2015-05-17 22:51:00,REPORT EXEC,Report Sent to Review,AIN SHAMS UNI,EGYPT,,2015-05-17 00:00:00,2015-05-17 00:00:00,,,"""Students against the Coup"" call on Saturday protests in Ain Shamas Uni.",EGYPT,CAIRO,CAIRO,CIVIL UNREST,PROTEST
