Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000205,2015-08-27 13:11:00,"DAVIS, JERRY",Report Sent to Review,NORTHERN SHEIKH ZUWEID,EGYPT,,2015-08-05 00:00:00,2015-08-05 00:00:00,OPEN SOURCE (ONLINE),,Military airstrikes reportedly kill 15 militants in Sheikh Zuweid.,EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000153,2015-08-17 16:40:00,"CAIRO, OPSCENTER",Report Sent to Review,10TH OF RAMADAN,EGYPT,,2015-08-16 00:00:00,2015-08-16 00:00:00,,,"A massive fire in factory in the industrial area 10th of Ramadan City, Sharqia Governorate",EGYPT,SHARQIA,BILBEIS,TERRORISM,BOMB DISCOVERY
2015-000106,2015-08-04 07:54:00,"CAIRO, OPSCENTER",Report Sent to Review,SOUTH OF SHEIKH ZUWAYYED,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,"A Mortar fell down on A House at Al-Sheikh Zuweid city, North Sinai.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,TERRORISM,SHOOTING
2015-000335,2015-08-30 15:20:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian media outlets quoting a security source, security forces surrounded arrested a high-ranking member of the ISIS affiliated Wilayat Sinai in a farm in al-Arish.",EGYPT,NORTH SINAI,EL-ARISH,SECURITY FORCES,ARREST
2015-000300,2015-08-28 15:32:00,"DAVIS, JERRY",Report Sent to Review,AREAS WEST OF RAFAH,EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,OPEN SOURCE (ONLINE),,Media outlets reported that eight militants were killed in Egyptian Air Force strikes on areas west of Rafah.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000268,2015-08-28 12:49:00,"BASURTO, JANET",Report Sent to Review,KARAMA DISTRICT,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,Unidentified gunmen detonated an IED at the house of the Arish police secretary in the city's southeast Karama District. No injuries were reported.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,IED
2015-000290,2015-08-28 15:05:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,,,MB protests in the center of Abu Hammad.,EGYPT,SHARQIA,NA,CIVIL UNREST,PROTEST
2015-000244,2015-08-27 18:21:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,OPEN SOURCE (ONLINE),,ISIS-Affiliated WS claimed it targeted the al-Mansura checkpoint south of Rafah with 'medium and heavy weaponry' further adding that 'clashes continued for a long time'. Clashes and sounds of explosions were heard in the Palestinian side of Rafah.,EGYPT,NORTH SINAI,RAFAH,TERRORISM,ARMED ATTACK
2015-000103,2015-08-04 02:03:00,"CAIRO, OPSCENTER",Report Sent to Review,MAHALA CITY,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in Ghazl Mahalla company, Mahala city, Gharbia Governorate.",EGYPT,GHARBIA,NA,HAZARD,NA
2015-000103,2015-08-04 02:03:00,"CAIRO, OPSCENTER",Report Sent to Review,MAHALA CITY,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in Ghazl Mahalla company, Mahala city, Gharbia Governorate.",EGYPT,GHARBIA,NA,HAZARD,NA
2015-000121,2015-08-09 05:40:00,"CAIRO, OPSCENTER",Report Sent to Review,"AT ASSIUT ST. AL ARISH CITY , NORTH SINAI",EGYPT,,2015-08-09 00:00:00,2015-08-09 00:00:00,OPEN SOURCE (ONLINE),,"A bomb exploded in an armored vehicle at Assiut St. AL Arish City , North Sinai .",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMBING (OTHER THAN IED)
2015-000227,2015-08-27 09:37:00,"DAVIS, JERRY",Report Sent to Review,VILLAGE OF KAFR MAHFOUZ,EGYPT,,2015-08-10 00:00:00,2015-08-10 00:00:00,OPEN SOURCE (ONLINE),,Three IEDs detonated near an electricity tower in the village of Kafr Mahfouz in the Fayoum Governorate.,EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000309,2015-08-28 15:55:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-18 00:00:00,2015-08-18 00:00:00,OPEN SOURCE (ONLINE),,Assailants open fire on police car,EGYPT,BENI SUEF,NA,TERRORISM,ARMED ATTACK
2015-000176,2015-08-26 16:37:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-02 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,IED planted under vehicle reportedly detonated in front of Court House in Khanka 10km NE of Cairo in Qalyubia gov. No injuries reported.,EGYPT,QALYUBIA,KHANKA,TERRORISM,IED
2015-000097,2015-08-02 13:45:00,"CAIRO, OPSCENTER",Report Sent to Review,AL-ARISH CITY,EGYPT,,2015-08-02 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,"Police forces defused a three homemade bombs at , Al-Arish City, North Sinai.",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMB DISCOVERY
2015-000293,2015-08-28 15:11:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian security forces are reportedly deploying along Ahmed Esmat Street in Cairo's Ain Shams district, in anticipation of protest.",EGYPT,CAIRO,AIN SHAMS,SECURITY FORCES,NA
2015-000145,2015-08-16 02:57:00,"CAIRO, OPSCENTER",Report Sent to Review,"ZAWIAT GHAZALAH VILLAGE, DAMANHUR CITY",EGYPT,,2015-08-16 00:00:00,2015-08-16 00:00:00,OPEN SOURCE (ONLINE),,"Two IEDs exploded at Zawiat Ghazalah Village, Damanhur city, Beheira Governorate.",EGYPT,BEHEIRA,NA,TERRORISM,IED
2015-000279,2015-08-28 13:55:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"According to local sources Egyptian F16 carried out multiple airstrikes near Yarmit, south of Rafah. The explosion were heard on the Palestinian side.",EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000327,2015-08-30 13:13:00,"BASURTO, JANET",Report Sent to Review,TAMIYYAH,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,,,"Two militants were reportedly killed after security forces surrounded and stormed their hideout in the city of Tamiyyah. Other sources, however, claim the two were MB activists rather than militants.",EGYPT,FAYOUM,NA,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000254,2015-08-27 20:07:00,"BASURTO, JANET",Report Sent to Review,ARISH AND RAFAH,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,"According to local sources in Sinai, Egyptian military reportedly carried out several airstrikes south of Sheikh Zuweid and Rafah",EGYPT,NORTH SINAI,EL-ARISH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000263,2015-08-28 12:38:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,Three officers were reportedly killed after a gun battle broke out between security forces in Qalyub and a group of unidentified gunmen who broke into a local villa. Security forces are reportedly combing the area to find the attackers.,EGYPT,QALYUBIA,QALYUB,CRIME,ARMED ROBBERY
2015-000113,2015-08-07 11:53:00,"CAIRO, OPSCENTER",Report Sent to Review,"ABDEL KADER AREA, ALEXANDRIA GOVERNORATE.",EGYPT,,2015-08-06 00:00:00,2015-08-06 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in Cotton factory at Abdel Kader area, Alexandria Governorate.",EGYPT,ALEXANDRIA,NA,HAZARD,NA
2015-000289,2015-08-28 15:01:00,"BASURTO, JANET",Report Sent to Review,KFAR SULEIMAN,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"MB protests were reported in the village of Kfar Suleiman south of Damietta, and in As Salhiyyah.",EGYPT,DAMIETTA,NA,CIVIL UNREST,PROTEST
2015-000261,2015-08-28 12:32:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian media outlets, the Egyptian military reportedly carried out a security raid in Sheikh Zuweid. Outlets quoted a security source stating that one high ranking militant was killed and three arrested following the operation. According to security sources, the high ranking militant killed this morning is Abu al-Qassim, the commander of WS military wing.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000261,2015-08-28 12:32:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian media outlets, the Egyptian military reportedly carried out a security raid in Sheikh Zuweid. Outlets quoted a security source stating that one high ranking militant was killed and three arrested following the operation. According to security sources, the high ranking militant killed this morning is Abu al-Qassim, the commander of WS military wing.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,SECURITY FORCES,ARREST
2015-000192,2015-08-27 11:09:00,"CAIRO, OPSCENTER",Report Sent to Review,RAFAH,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,,,"A Rocket fall on a house in Rafah, North Sinai.",EGYPT,NORTH SINAI,RAFAH,TERRORISM,SHOOTING
2015-000294,2015-08-28 15:20:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,Egyptian security forces reportedly dispersed a MB protest near a textile factory in Minya al-Qamh.,EGYPT,SHARQIA,MINYA AL-QAMH,CIVIL UNREST,PROTEST
2015-000132,2015-08-11 16:59:00,"CAIRO, OPSCENTER",Report Sent to Review,INDUSTRIAL AREA DAMIETTA,EGYPT,,2015-08-08 00:00:00,2015-08-08 00:00:00,,"A massive fire in factory in the industrial area Damietta, Damietta Governorate","A massive fire in factory in the industrial area Damietta, Damietta Governorate.",EGYPT,DAMIETTA,NA,TERRORISM,SMALL-SCALE EXPLOSIVES
2015-000208,2015-08-27 13:30:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-06 00:00:00,2015-08-06 00:00:00,OPEN SOURCE (ONLINE),,Egyptian military reportedly killed 15 suspected Wilayat Sinai militants in operations in Sheikh Zuweid.,EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000338,2015-08-30 15:52:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,OPEN SOURCE (ONLINE),,"MB protest started in Beni Suef, while another was reported on an agricultural road near Hehia.",EGYPT,BENI SUEF,NA,CIVIL UNREST,PROTEST
2015-000241,2015-08-27 18:06:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,OPEN SOURCE (ONLINE),,Hamas holds Egypt responsible for the fate of the four Palestinians kidnapped in Sinai on Aug. 20. Four Palestinians were reportedly members of Hamas' military wing.,EGYPT,NORTH SINAI,NA,MAJOR POLITICAL EVENT,NA
2015-000283,2015-08-28 14:11:00,"BASURTO, JANET",Report Sent to Review,6 OCTOBER CITY,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,Dozens of MB protesters in Gamal Abdel Nasser Street in the 6th Oct. City.,EGYPT,CAIRO,16 OCTOBER CITY,CIVIL UNREST,PROTEST
2015-000144,2015-08-15 04:57:00,"CAIRO, OPSCENTER",Report Sent to Review,AL-HOATEM AREA,EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,OPEN SOURCE (ONLINE),,"A Homemade Bomb exploded at Al-Hoatem area, Fayoum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000232,2015-08-27 17:24:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-25 00:00:00,2015-08-25 00:00:00,OPEN SOURCE (ONLINE),,Reports indicate that the Egyptian air force targeted Rafah. Location was not noted.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000125,2015-08-10 11:41:00,"CAIRO, OPSCENTER",Report Sent to Review,MENOF HOSPITAL,EGYPT,,2015-08-10 00:00:00,2015-08-10 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in Menof Hospital, Menof City ,Monufia Governorate",EGYPT,MENOUFIYA,NA,HAZARD,NA
2015-000272,2015-08-28 13:00:00,"DAVIS, JERRY",Report Sent to Review,IMBABA AND HARAM DISTRICTS,EGYPT,,2015-08-14 00:00:00,2015-08-14 00:00:00,OPEN SOURCE (ONLINE),,"Protests held by the Pro-MB Ultra Nahdawy group starting in CAiro's Imbaba district. Another protest held by Pro-MB students was reportedly dispersed on al-Ahram street, in the al-Haram district of Cairo. Security forces are reportedly chasing the students who fled in the streets nearby.",EGYPT,CAIRO,NA,CIVIL UNREST,PROTEST
2015-000329,2015-08-30 14:41:00,"DAVIS, JERRY",Report Sent to Review,SOUTH OF AL-ARISH,EGYPT,,2015-08-29 00:00:00,2015-08-29 00:00:00,OPEN SOURCE (ONLINE),,"Security forces reported uncovered and detonated two IEDS planted on the ring road, south of Al-Arish. Explosions could be heard from the city center.",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,IED
2015-000324,2015-08-30 12:36:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-28 00:00:00,2015-08-27 00:00:00,OPEN SOURCE (ONLINE),,"Unidentified gunmen reportedly opened fire toward the al-Arish, killing one civilian. WS claimed the attack, further stating it killed an ""army spy"". Security forces are reportedly combing the area to find the gunmen",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,ARMED ATTACK
2015-000128,2015-08-11 09:04:00,"CAIRO, OPSCENTER",Report Sent to Review,FAIYUM POLICE DEPARTMENT,EGYPT,,2015-08-11 00:00:00,2015-08-11 00:00:00,,,"A bomb exploded Behind Faiyum Police Department, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000228,2015-08-27 09:39:00,"DAVIS, JERRY",Report Sent to Review,6TH OCTOBER CITY AND AL-KHAMAYEL,EGYPT,,2015-08-10 00:00:00,2015-08-10 00:00:00,OPEN SOURCE (ONLINE),,"IED exploded near a security installation in 6 October City. Anothe rIED was also defused by security forces in the al-Khamayel area, west of Cairo. No casualties reported.",EGYPT,CAIRO,16 OCTOBER CITY,TERRORISM,IED
2015-000175,2015-08-26 16:33:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-02 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,Protest in solidarity with deceased Palestinian baby in Israel.,EGYPT,CAIRO,DOWNTOWN,CIVIL UNREST,DEMONSTRATION
2015-000281,2015-08-28 14:06:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"MB protest started in undisclosed location of Nasr City, likely in the 8th district. No reports of unrest.",EGYPT,CAIRO,NASR CITY,CIVIL UNREST,PROTEST
2015-000202,2015-08-27 13:01:00,"DAVIS, JERRY",Report Sent to Review,TOWN OF NASSER,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,"Brawl broke out between members of the Abu Juma Gamasy clan and another group of people in the town of Nasser, 12 km north of Beni Suef. One person was killed with 3 others injured.",EGYPT,BENI SUEF,NA,CRIME,NA
2015-000189,2015-08-26 17:24:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-06 00:00:00,2015-08-06 00:00:00,OPEN SOURCE (ONLINE),,Airstrikes reportedly killed two children and a tribal sheikh in the al-Arish area. Dozens of civilians were reportedly injured as well.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000351,2015-08-31 06:34:00,"CAIRO, OPSCENTER",Report Sent to Review,(BENI SUEF – FAYOUM) AGRICULTURE ROAD,EGYPT,,2015-08-31 00:00:00,2015-08-31 00:00:00,,,"Unknown people open fire towards Police Forces at (Beni Suef – Fayoum) agriculture road, Beni suef Governorate.",EGYPT,BENI SUEF,NA,TERRORISM,SHOOTING
2015-000307,2015-08-28 15:46:00,"SIKE, OLIVIA",Report Sent to Review,IN FRONT OF THE JOURNALIST SYNDICATE,EGYPT,,2015-08-17 00:00:00,2015-08-17 00:00:00,OPEN SOURCE (ONLINE),,Localized protest reportedly being held,EGYPT,CAIRO,NA,CIVIL UNREST,PROTEST
2015-000248,2015-08-27 18:46:00,"DAVIS, JERRY",Report Sent to Review,SOUTH OF AL-ARISHE,EGYPT,,2015-08-12 00:00:00,2015-08-12 00:00:00,OPEN SOURCE (ONLINE),,"Security forces arrest a member of Wilayat Sinai, south of Al-Arish.",EGYPT,NORTH SINAI,EL-ARISH,SECURITY FORCES,ARREST
2015-000211,2015-08-27 13:52:00,"DAVIS, JERRY",Report Sent to Review,"6 OCTOBER CITY, 2ND AND 4TH DISTRICTS",EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,Hundreds of Pro MB supporters march in 6 October city condemning the Fayoum shooting of 5 suspected MB militants by police.,EGYPT,CAIRO,16 OCTOBER CITY,CIVIL UNREST,MARCH
2015-000249,2015-08-27 18:48:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,,,"Hundreds of police officers who were protesting in front of the Sharqiya Security Directorate in Zagazig reportedly stormed the building demanding better working conditions and wage hikes. A least 4 police officers were reportedly injured after clashes broke out during the protest in Zagazig. Further reports indicate that police forces in Alexandria have declared their support for the protests. At 2:00pm local time, police officers agreed to end their sit-in in front of Sharqiya Security Directorate after being promised that their grievances will be examined by the Minister of Interior before Sept. 5",EGYPT,SHARQIA,ZAGAZIG,CIVIL UNREST,DEMONSTRATION
2015-000107,2015-08-04 15:30:00,"CAIRO, OPSCENTER",Report Sent to Review,GIZA SQUARE,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,"Police Forces defused a Homemade Bomb in front of Al-Istiqamah Mosque at Giza Square, Giza Governorate.",EGYPT,GIZA,GIZA,TERRORISM,BOMB DISCOVERY
2015-000262,2015-08-28 12:35:00,"DAVIS, JERRY",Report Sent to Review,SOUTH OF SHEKH ZUWEID,EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),,Security Source reported that an Egyptian combat helicopter targeted three ISIS militants traveling in a jeep south of Sheikh Zuweid. Security source claimed there was an anti-aircraft gun mounted on the jeep and that the three militants were killed following the airstrike.,EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000332,2015-08-30 13:49:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,OPEN SOURCE (ONLINE),,Localized MB protest reportedly started in Youssef el Sedik. No reports of unrest. Another reported in Difinuu.,EGYPT,FAYOUM,NA,CIVIL UNREST,PROTEST
2015-000134,2015-08-12 13:46:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-12 00:00:00,2015-08-12 00:00:00,OPEN SOURCE (ONLINE),Kidnapping of Croat citizen week before,Croatian citizen working for a French company is beheaded by Wilayet Sinai after being kidnapped. First foreign beheading for the ISIL branch.,EGYPT,NORTH SINAI,NA,OTHER,EXECUTION
2015-000216,2015-08-27 15:49:00,"BASURTO, JANET",Report Sent to Review,NILE DELTA: FAQOUS,EGYPT,,2015-08-27 00:00:00,2015-08-27 00:00:00,OPEN SOURCE (ONLINE),,Local MB protest in Faqous area in the Nile Delta.,EGYPT,NA,NA,CIVIL UNREST,PROTEST
2015-000333,2015-08-30 13:50:00,"BASURTO, JANET",Report Sent to Review,KAFR SAAD,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian media outlets 9 prisoners managed to escape from a detention facility in Kafr Saad, south of Damietta. Security forces have reportedly erected numerous checkpoints in the area as they are searching for the prisoners. Security forces are still searching for 5 of the 9 prisoners. One of the prisoners is responsible for the killing of a police officer in Damietta last year.",EGYPT,DAMIETTA,NA,CRIME,NA
2015-000182,2015-08-26 17:03:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,masked men opened fire towards a mosque in Kirdasah resulting in two people injured.,EGYPT,GIZA,NA,TERRORISM,ARMED ATTACK
2015-000185,2015-08-26 17:15:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,low grade IED diffused outside of istiqma mosque,EGYPT,GIZA,NA,TERRORISM,BOMB DISCOVERY
2015-000181,2015-08-26 17:01:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,"IED explodes in a village south of rafah, one child injured",EGYPT,NORTH SINAI,RAFAH,TERRORISM,IED
2015-000316,2015-08-28 16:34:00,"SIKE, OLIVIA",Report Sent to Review,NEAR AL- WASTA NORTH OF BENI SUEF,EGYPT,,2015-08-19 00:00:00,2015-08-19 00:00:00,OPEN SOURCE (ONLINE),,Train traffic reportedly briefly interrupted by tire fires,EGYPT,NA,NA,CIVIL UNREST,NA
2015-000310,2015-08-28 15:58:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-18 00:00:00,2015-08-18 00:00:00,OPEN SOURCE (ONLINE),,"Security measures, concern of suspicious item- (was a faulty air conditioning unit)",EGYPT,CAIRO,ZAMALEK,SECURITY FORCES,NA
2015-000201,2015-08-27 12:57:00,"DAVIS, JERRY",Report Sent to Review,VILLAGE OF ABU AERAJ,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,Reports indicate that the Egyptian military killed 12 militants in intensive airstrikes in the village of Abu Aeraj in Southern Sheikh Zuweid.,EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000233,2015-08-27 17:27:00,"BASURTO, JANET",Report Sent to Review,KHORSHEID AREA,EGYPT,,2015-08-25 00:00:00,2015-08-25 00:00:00,OPEN SOURCE (ONLINE),,Egyptian media reports that security forces have forcibly dispersed a march of pro-Morsi supporters that commenced from Alexandria's Khorsheid area. Two were arrested.,EGYPT,ALEXANDRIA,NA,CIVIL UNREST,PROTEST
2015-000267,2015-08-28 12:45:00,"DAVIS, JERRY",Report Sent to Review,"NEAR SIWA OASIS, CLOSE TO LIBYAN BORDER",EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian helicopter reportedly crashed as it pursued a convoy of several vehicles carrying suspected militants near the Siwa Oasis, near the Libyan border. The military claimed the helicopter crashed due to a technical malfunction, and that several of the vehicles had been destroyed in the clash. Four troops were killed as a result.",EGYPT,NA,NA,HAZARD,VEHICLE ACCIDENT
2015-000267,2015-08-28 12:45:00,"DAVIS, JERRY",Report Sent to Review,"NEAR SIWA OASIS, CLOSE TO LIBYAN BORDER",EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian helicopter reportedly crashed as it pursued a convoy of several vehicles carrying suspected militants near the Siwa Oasis, near the Libyan border. The military claimed the helicopter crashed due to a technical malfunction, and that several of the vehicles had been destroyed in the clash. Four troops were killed as a result.",EGYPT,NA,NA,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000187,2015-08-26 17:19:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-05 00:00:00,2015-08-05 00:00:00,OPEN SOURCE (ONLINE),,airstrikes targeted explosive devices near a stadium in al-Arish. The strikes reportedly led to a massive explosion that resulted in no casualties.,EGYPT,NORTH SINAI,EL-ARISH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000330,2015-08-30 13:45:00,"BASURTO, JANET",Report Sent to Review,MIT GHAMR,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,OPEN SOURCE (ONLINE),,MB protest reportedly started in Mit Ghamr,EGYPT,DAKHALIYA,NA,CIVIL UNREST,PROTEST
2015-000282,2015-08-28 14:08:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"MB protest reportedly started in Cairo, in front of the Rahman Mosque in Matariyya. No reports of unrest.",EGYPT,CAIRO,MATARIYYAH,CIVIL UNREST,PROTEST
2015-000236,2015-08-27 17:46:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-25 00:00:00,2015-08-25 00:00:00,OPEN SOURCE (ONLINE),,"IED detonated near an armored vehicle along al-Arish Fountain Street, near a KFC restaurant. One conscript and three civilians were injured. Al-Jazeera reported that WS claimed responsibility.",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,IED
2015-000177,2015-08-26 16:40:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-02 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,Student demonstration in front of the ministry of education in Bab-al-louq neighborhood of cairo,EGYPT,CAIRO,NA,CIVIL UNREST,DEMONSTRATION
2015-000347,2015-08-31 09:58:00,"BASURTO, JANET",Report Sent to Review,AL AHRAM,EGYPT,,2015-08-31 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,MB protest reportedly held along Cairo's al-Ahram street overnight.,EGYPT,CAIRO,NA,CIVIL UNREST,MARCH
2015-000276,2015-08-28 13:35:00,"DAVIS, JERRY",Report Sent to Review,MINYA CENTRAL POLICE STATION,EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,OPEN SOURCE (ONLINE),,An unknown assailant riding a motorcycle opened fire on the Minya Central Police Station and fled the scene.,EGYPT,MINYA,NA,TERRORISM,SHOOTING
2015-000352,2015-09-01 02:18:00,"CAIRO, OPSCENTER",Report Sent to Review,NASR CITY,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,OPEN SOURCE (ONLINE),,"Demonstrations by Morsi Supporters in Nasr City and Lead to Traffic jam, Cairo.",EGYPT,CAIRO,NASR CITY,CIVIL UNREST,DEMONSTRATION
2015-000198,2015-08-27 12:38:00,"DAVIS, JERRY",Report Sent to Review,SHEIKH ZUWEID,EGYPT,,2015-08-03 00:00:00,2015-08-03 00:00:00,,,Six militants were killed in an Apache helicopter airstrike in the Sheikh Zuweid area.,EGYPT,NA,NA,SECURITY FORCES,NA
2015-000303,2015-08-28 15:39:00,"DAVIS, JERRY",Report Sent to Review,"BETWEEN ZAGAZIG AND TANTA, NEAR THE VILLAGE OF SHIBAH",EGYPT,,2015-08-16 00:00:00,2015-08-16 00:00:00,OPEN SOURCE (ONLINE),,The train traffic between Zagazig and Tanta was reportedly interrupted following the explosion of an IED along the train tracks near the village of Shibah.,EGYPT,NA,NA,TERRORISM,IED
